0
"['bergennh', 'ambulance', 'p2000', 'a1', '10182', 'rit', '134913', 'margrietlaan', 'bergen', 'nh']"
"['medemblik', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10108', 'rit', '134912', 'graaf', 'florislaan', 'medemblik']"
"['nijkerkgld', 'ambulance', 'p2000', 'a1', 'dia', 'brucknerlaantje', '3862tj', 'nijkerk', '148035']"
"['spierdijk', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10107', 'rit', '134910', 'bobeldijk', 'spierdijk']"
"['oudorpnh', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10185', 'rit', '135049', 'mercuriusstraat', 'oudorp']"
"['ermelo', 'ambulance', 'p2000', 'a1', 'ambu', '06184', 'ermelo', 'rit', '102958']"
"['grootebroek', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10102', 'rit', '135043', 'martinuscollege', 'de', 'aanloop', 'grootebroek']"
"['obdam', 'ambulance', 'p2000', 'a1', 'inzet', 'aed', 'dia', 'ja', '10101', 'rit', '135042', 'dorpsstraat', 'obdam']"
"['enkhuizen', 'ambulance', 'p2000', 'a1', '10105', 'rit', '135038', 'vijzelstraat', 'enkhuizen']"
"['harderwijk', 'ambulance', 'p2000', 'b1', 'ambu', '06181', 'harderwijk', 'rit', '102948']"
"['westwoud', 'ambulance', 'p2000', 'a1', '10104', 'rit', '135026', 'wentelaar', 'westwoud']"
"['bada', 'khabar', 'latestupdate', 'kendujhar', 'ambulance', 'roadblock']"
"['alkmaar', 'ambulance', 'p2000', 'a1', '10186', 'rit', '135025', 'ilpenwaard', 'alkmaar']"
"['alkmaar', 'ambulance', 'p2000', 'a1', '10190', 'rit', '135023', 'ha', 'gezondheidscentrum', 'daalmeer', 'johanna', 'naberstraat', 'alkmaar']"
"['denhelder', 'ambulance', 'p2000', 'a1', '10119', 'rit', '135021', 'keizerstraat', 'den', 'helder']"
"['callantsoog', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10118', 'rit', '135016', 'vakantiepark', 'callassande', 'voorweg', 'callantsoog']"
"['hippolytushoef', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10109', 'rit', '135014', 'akkermantje', 'hippolytushoef']"
"['harderwijk', 'ambulance', 'p2000', 'a2', 'ambu', '06182', 'dia', 'harderwijk', 'rit', '102932']"
"['alkmaar', 'ambulance', 'p2000', 'a1', '10185', 'rit', '135009', 'andalusiestraat', 'alkmaar']"
"['heerhugowaard', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10185', 'rit', '135006', 'stella', 'agsteribbeland', 'heerhugowaard']"
"['blokker', 'ambulance', 'p2000', 'a1', '10105', 'rit', '135005', 'ha', 'blokker', 'plantage', 'blokker']"
"['blokker', 'ambulance', 'p2000', 'a1', '10105', 'rit', '135004', 'ha', 'blokker', 'plantage', 'blokker']"
"['harderwijk', 'ambulance', 'p2000', 'a2', 'ambu', '06186', 'dia', 'harderwijk', 'rit', '102924']"
"['ermelo', 'ambulance', 'p2000', 'a2', 'ambu', '06184', 'dia', 'ermelo', 'rit', '102922']"
"['heerhugowaard', 'ambulance', 'p2000', 'a1', '10189', 'rit', '134991', 'clara', 'wichmanntuin', 'heerhugowaard']"
"['decocksdorp', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10113', 'rit', '134990', 'postweg', 'de', 'cocksdorp']"
"['spierdijk', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10101', 'rit', '134989', 'bobeldijk', 'spierdijk']"
"['meme', 'memesdaily', 'memorybear', 'earlybiz', 'viral', 'paramedic', 'ambulance', 'tuesdaymotivations', 'the', 'nh', 'elevenseshour']"
"['utssonm', 'ut', 'health', 'utsresearch', 'chaplainlab', 'transformchap1', 'cisa', 'lnu', 'ambulance', 'paramedic', 'em']"
"['alkmaar', 'ambulance', 'p2000', 'a1', '10187', 'rit', '134979', 'elisabethtuinen', 'alkmaar']"
"['middenmeer', 'ambulance', 'p2000', 'a1', '10109', 'rit', '134976', 'kamille', 'middenmeer']"
"['need', 'reference', 'several', 'time', 'last', 'week', 'doesbitcoinfixthis', 'firstresponder', 'ambulance']"
"['alkmaar', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10189', 'rit', '134975', 'stationstraat', 'alkmaar']"
"['wervershoof', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10102', 'rit', '134965', 'mendelstraat', 'wervershoof']"
"['berkhout', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10107', 'rit', '134964', 'bruggevaart', 'berkhout']"
"['julianadorp', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10117', 'rit', '134961', 'kruiszwin', 'julianadorp']"
"['alkmaar', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10180', 'rit', '134957', 'willem', 'de', 'zwijgerlaan', 'alkmaar']"
"['alkmaar', 'ambulance', 'p2000', 'a1', '10189', 'rit', '134953', 'prins', 'alexanderstraat', 'alkmaar']"
"['thing', 'like', 'normal', 'neighborhood', 'craybcray', 'neighborhood', 'ambulance', 'comedychannel']"
"['think', 'pay', 'increase', 'order', '18', 'increase', 'emergency', 'response', 'that', 's', 'me']"
"['heerhugowaard', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10191', 'rit', '134944', 'middenwaard', 'heerhugowaard']"
"['nijkerkgld', 'ambulance', 'p2000', 'a2', 'dia', 'appartementencomplex', 'monarchvlinder', 'zijdevlinder', '3863ht', 'nijkerk', '148088']"
"['alkmaar', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10180', 'rit', '134943', 'annie', 'm', 'g', 'schmidtstraat', 'alkmaar']"
"['enkhuizen', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10107', 'rit', '134936', 'asterstraat', 'enkhuizen']"
"['zwaag', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10102', 'rit', '134934', 'weegbree', 'zwaag']"
"['along', 'ambulance', 'service', 'we', 're', 'also', 'building', 'resilient', 'community', 'across', 'aotearoa', 'lot', 'differ']"
"['blokker', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10107', 'rit', '134931', 'westerblokker', 'blokker']"
"['zwaag', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10107', 'rit', '134923', 'vierkant', 'zwaag']"
"['ambulance', '2022', 'want', 'ambulance', 'ambulancemovie', 'jakegyllenhaal']"
